cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,2021-03-17,2021-07-08,cat2,subcat2
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,2021-05-23,2021-09-23,cat2,subcat2
2389,2851,Casey-Kelly,Sharable holistic interface,7200,13653,successful,303,US,USD,2021-01-25,2022-01-30,cat2,subcat2
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800,37857,successful,411,US,USD,2020-11-01,2021-03-04,cat2,subcat2
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,2020-08-23,2021-03-24,cat2,subcat2
2404,5501,Allen-Curtis,Phased human-resource core,70600,42596,canceled,532,US,USD,2020-09-13,2021-09-17,cat2,subcat2
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,100,1,failed,1,US,USD,2021-01-21,2021-07-11,cat2,subcat2
174,4420,Meza-Rogers,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,2020-11-24,2021-12-26,cat2,subcat2
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,2100,4640,successful,41,US,USD,2020-12-28,2021-11-24,cat2,subcat2
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100,9134,successful,157,CH,CHF,2021-09-05,2021-12-16,cat2,subcat2
1134,5652,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100,3525,failed,86,CA,CAD,2020-04-16,2021-03-02,cat2,subcat2
611,3717,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600,8517,failed,243,US,USD,2020-11-07,2021-06-16,cat2,subcat2
777,5075,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800,968,failed,13,US,USD,2020-03-14,2021-03-13,cat2,subcat2
805,1243,Carney-Anderson,Digitized 5thgeneration knowledgebase,1000,4257,successful,43,US,USD,2020-12-25,2021-08-29,cat2,subcat2
2159,1544,Sullivan Group,Open-source fresh-thinking policy,1400,14324,successful,165,US,USD,2021-06-01,2021-07-24,cat2,subcat2
894,3025,Fox-Quinn,Enterprise-wide reciprocal success,67800,176398,successful,5880,US,USD,2020-10-14,2021-02-28,cat2,subcat2
1760,3353,Gallegos-Cobb,Object-based directional function,39500,4323,failed,57,AU,AUD,2021-01-21,2021-12-01,cat2,subcat2
1955,5544,"Hill, Martin and Garcia",Sharable scalable core,8400,10729,successful,250,US,USD,2020-08-22,2021-03-01,cat2,subcat2
2635,6147,Robbins and Sons,Future-proofed directional synergy,100,3,failed,1,US,USD,2020-09-16,2021-02-27,cat2,subcat2
614,4529,"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,80500,96735,successful,1697,US,USD,2020-11-03,2021-09-27,cat2,subcat2
1792,6084,Smith-Reid,Optimized actuating toolset,4100,959,failed,15,GB,GBP,2020-11-03,2021-10-17,cat2,subcat2
1204,5342,Allen-Jones,Centralized modular initiative,6300,9935,successful,261,US,USD,2021-07-15,2021-10-12,cat2,subcat2
669,4087,Mason-Smith,Reverse-engineered cohesive migration,84300,26303,failed,454,US,USD,2021-08-04,2021-09-13,cat2,subcat2
2741,4548,Lucas-Mullins,Business-focused dynamic instruction set,8100,1517,failed,29,DK,DKK,2020-05-27,2021-03-20,cat2,subcat2
641,4184,"Chase, Garcia and Johnson",Adaptive intangible database,3500,5037,successful,72,US,USD,2021-05-20,2021-06-21,cat2,subcat2
336,3510,Miller-Irwin,Secured maximized policy,2200,8697,successful,223,US,USD,2021-11-26,2021-12-02,cat2,subcat2
341,5842,"Young, Hart and Ryan",Decentralized demand-driven open system,5700,903,failed,17,US,USD,2021-07-29,2021-09-25,cat2,subcat2
3004,4270,Young PLC,Innovative well-modulated functionalities,98700,131826,successful,2441,US,USD,2020-09-01,2021-05-03,cat2,subcat2
1194,6201,Mcgee Group,Assimilated discrete algorithm,66200,123538,successful,1113,US,USD,2020-06-27,2021-05-04,cat2,subcat2
3176,1791,Jordan-Acosta,Operative uniform hub,173800,198628,successful,2283,US,USD,2020-02-27,2021-02-12,cat2,subcat2
642,3314,Nunez Inc,Customizable intangible capability,70700,68602,failed,1072,US,USD,2020-11-06,2021-07-21,cat2,subcat2
2005,2646,Young LLC,Universal maximized methodology,74100,94631,successful,2013,US,USD,2021-09-12,2021-10-05,cat2,subcat2
2612,2140,Lawrence Group,Automated actuating conglomeration,3700,13755,successful,191,US,USD,2021-04-23,2022-01-26,cat2,subcat2
807,3079,Gray-Davis,Re-contextualized local initiative,5200,8330,successful,139,US,USD,2021-03-12,2021-10-07,cat2,subcat2
2889,3841,Perry PLC,Mandatory uniform matrix,3400,12275,successful,131,US,USD,2020-06-23,2021-05-10,cat2,subcat2
2592,2749,Jones-Martin,Virtual systematic monitoring,8100,14083,successful,454,US,USD,2020-09-21,2021-02-11,cat2,subcat2
1237,5976,Stewart LLC,Secured asymmetric projection,135600,62804,failed,714,US,USD,2021-02-11,2021-05-09,cat2,subcat2
305,4666,Padilla-Porter,Innovative exuding matrix,148400,182302,successful,6286,US,USD,2020-12-31,2021-08-20,cat2,subcat2
2090,1568,"Turner, Young and Collins",Self-enabling clear-thinking framework,153800,60342,failed,575,US,USD,2020-10-28,2021-02-27,cat2,subcat2
3136,4807,Smith-Miller,De-engineered cohesive moderator,7500,6924,failed,62,IT,EUR,2021-04-08,2021-05-19,cat2,subcat2
1883,3455,"Sanchez, Bradley and Flores",Centralized motivating capacity,138700,31123,canceled,528,CH,CHF,2021-01-30,2021-10-19,cat2,subcat2
1898,4465,Marsh-Coleman,Exclusive asymmetric analyzer,177700,180802,successful,1773,US,USD,2020-09-25,2021-03-23,cat2,subcat2
1859,3815,Taylor Inc,Public-key 3rdgeneration system engine,2800,7742,successful,84,US,USD,2020-08-02,2021-05-24,cat2,subcat2
2215,3054,"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,170600,75022,failed,1028,US,USD,2020-12-11,2021-05-26,cat2,subcat2
2470,5869,Anderson Group,Organic maximized database,6300,14089,successful,135,DK,DKK,2020-05-09,2021-05-01,cat2,subcat2
2918,5109,Blair Inc,Configurable bandwidth-monitored throughput,9900,1269,failed,26,CH,CHF,2021-02-05,2021-11-04,cat2,subcat2
304,3650,Johns PLC,Distributed high-level open architecture,6800,14865,successful,244,US,USD,2020-11-01,2021-06-12,cat2,subcat2
1654,4266,Martinez-Juarez,Realigned uniform knowledge user,31200,95364,successful,2725,US,USD,2021-06-07,2021-10-31,cat2,subcat2
913,4922,Clements Group,Assimilated actuating policy,9000,4896,canceled,94,US,USD,2021-02-10,2021-04-08,cat2,subcat2
3145,2642,Rowe-Wong,Robust hybrid budgetary management,700,6654,successful,130,US,USD,2021-07-16,2021-12-17,cat2,subcat2
653,3401,"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,108500,175868,successful,2409,IT,EUR,2021-01-06,2021-10-27,cat2,subcat2
1758,2816,Valencia PLC,Extended asynchronous initiative,3400,6405,successful,160,GB,GBP,2021-05-13,2021-08-21,cat2,subcat2
507,1742,"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,192100,178483,failed,4697,US,USD,2021-04-25,2021-10-10,cat2,subcat2
1016,2442,"Howell, Myers and Olson",Self-enabling mission-critical success,52600,31594,canceled,390,US,USD,2021-04-24,2021-08-05,cat2,subcat2
3182,5734,Murray Ltd,Decentralized 4thgeneration challenge,6000,5438,failed,77,GB,GBP,2020-11-19,2021-10-20,cat2,subcat2
2205,1992,"Cardenas, Thompson and Carey",Configurable full-range emulation,9200,12322,successful,196,IT,EUR,2021-04-10,2021-04-20,cat2,subcat2
2285,6141,Evans-Jones,Switchable methodical superstructure,38500,182036,successful,1785,US,USD,2021-03-15,2021-09-22,cat2,subcat2
1780,1326,Dominguez-Owens,Open-architected systematic intranet,123600,5429,canceled,60,US,USD,2021-07-16,2021-08-17,cat2,subcat2
1069,1592,"Glass, Baker and Jones",Business-focused 24hour access,117000,107622,failed,1121,US,USD,2021-05-24,2021-12-31,cat2,subcat2
2505,3234,Logan-Miranda,Proactive systemic firmware,29600,167005,successful,1518,CA,CAD,2021-11-02,2021-11-10,cat2,subcat2
2782,3238,Mitchell-Lee,Customizable leadingedge model,2200,14420,successful,166,US,USD,2021-07-03,2021-07-22,cat2,subcat2
2464,2578,Shaffer-Mason,Managed bandwidth-monitored system engine,1100,8010,successful,148,US,USD,2021-09-27,2021-11-24,cat2,subcat2
864,1424,Murphy LLC,Customer-focused non-volatile framework,9400,968,failed,10,US,USD,2021-02-21,2021-06-16,cat2,subcat2
988,5685,"Vega, Chan and Carney",Down-sized systematic utilization,7400,10451,successful,138,US,USD,2021-04-18,2021-11-18,cat2,subcat2
1707,3275,Vance-Glover,Progressive coherent secured line,61200,60994,failed,859,CA,CAD,2021-02-27,2021-11-06,cat2,subcat2
415,3607,Welch Inc,Optional optimal website,6600,8276,successful,110,US,USD,2021-10-06,2021-12-18,cat2,subcat2
751,3440,Wallace LLC,Centralized regional function,100,1,failed,1,CH,CHF,2021-06-17,2021-07-16,cat2,subcat2
1698,1368,English-Mccullough,Business-focused discrete software,2600,6987,successful,218,US,USD,2021-05-31,2021-09-19,cat2,subcat2
2139,2987,Vincent PLC,Visionary 24hour analyzer,3200,2950,failed,36,DK,DKK,2021-08-13,2021-12-26,cat2,subcat2
2442,2431,Watson-Douglas,Centralized bandwidth-monitored leverage,9000,11721,successful,183,CA,CAD,2021-03-29,2021-11-27,cat2,subcat2
198,4547,"Valdez, Williams and Meyer",Cross-group heuristic forecast,1500,12009,successful,279,GB,GBP,2021-02-13,2021-12-04,cat2,subcat2
2136,4732,Stewart and Sons,Distributed optimizing protocol,54000,188982,successful,2100,US,USD,2020-02-17,2021-01-07,cat2,subcat2
3200,5126,Dyer Inc,Secured well-modulated system engine,4100,14640,successful,252,US,USD,2021-01-01,2021-04-05,cat2,subcat2
1719,3329,"Hood, Perez and Meadows",Cross-group upward-trending hierarchy,100,1,failed,1,US,USD,2020-04-04,2021-03-11,cat2,subcat2
1372,3826,Mueller-Harmon,Implemented tangible approach,7900,5465,failed,67,US,USD,2020-12-25,2021-12-16,cat2,subcat2
1226,5696,Hogan Group,Versatile bottom-line definition,5600,8746,successful,159,US,USD,2021-05-01,2022-01-18,cat2,subcat2
289,2984,"Mora, Miller and Harper",Stand-alone zero tolerance algorithm,2300,4883,successful,144,US,USD,2021-01-31,2021-06-07,cat2,subcat2
3165,5235,Peterson Ltd,Re-engineered 24hour matrix,14500,159056,successful,1559,US,USD,2020-04-26,2021-02-28,cat2,subcat2
2925,4401,Nunez-King,Phased clear-thinking policy,2200,8501,successful,207,GB,GBP,2020-04-09,2021-03-05,cat2,subcat2
2247,4113,Logan-Curtis,Enhanced optimal ability,170600,114523,failed,4405,US,USD,2020-11-21,2021-01-19,cat2,subcat2
2408,4762,"Chan, Washington and Callahan",Optional zero administration neural-net,7800,3144,failed,92,US,USD,2021-04-12,2021-07-02,cat2,subcat2
2632,3494,Ramirez LLC,Reduced reciprocal focus group,9800,11091,successful,241,US,USD,2020-12-09,2021-05-26,cat2,subcat2
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,3208,failed,44,US,USD,2021-08-13,2021-08-31,cat2,subcat6
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400,39996,failed,1000,US,USD,2021-06-25,2021-08-08,cat2,subcat6
253,5755,Douglas LLC,Reduced heuristic moratorium,900,9193,successful,164,US,USD,2021-10-06,2022-01-27,cat2,subcat6
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000,2461,failed,37,IT,EUR,2021-05-10,2021-08-03,cat2,subcat6
1090,2277,Parker LLC,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,2021-12-02,2022-01-12,cat2,subcat6
2536,2974,Smith and Sons,Upgradable high-level solution,15800,57157,successful,524,US,USD,2021-02-02,2021-12-15,cat2,subcat6
3039,5066,Palmer Inc,Universal multi-state capability,63200,6041,failed,168,US,USD,2021-04-05,2021-07-05,cat2,subcat6
2685,5773,Ferguson PLC,Public-key intangible superstructure,6300,13213,successful,176,US,USD,2020-10-03,2021-02-19,cat2,subcat6
1401,4263,Richardson Inc,Assimilated fault-tolerant capacity,5000,8907,successful,106,US,USD,2021-02-21,2021-08-15,cat2,subcat6
810,2269,Webb-Smith,Advanced content-based installation,9300,4124,failed,37,US,USD,2021-09-04,2021-11-29,cat2,subcat6
179,2133,"Wang, Nguyen and Horton",Innovative holistic hub,6200,8645,successful,192,US,USD,2021-09-10,2021-11-05,cat2,subcat6
1659,1373,Fox-Williams,Profound system-worthy functionalities,128900,196960,successful,7295,US,USD,2021-12-15,2022-01-13,cat2,subcat6
2182,1979,West-Stevens,Reactive solution-oriented groupware,1200,13513,successful,122,US,USD,2021-03-30,2021-07-15,cat2,subcat6
985,2184,Ramos and Sons,Extended responsive Internet solution,100,1,failed,1,GB,GBP,2021-06-11,2021-06-28,cat2,subcat6
1519,3842,Rodriguez PLC,Grass-roots upward-trending installation,167500,114615,failed,1274,US,USD,2020-01-19,2021-03-14,cat2,subcat6
2004,3606,Bright and Sons,Object-based needs-based info-mediaries,6000,12468,successful,160,US,USD,2021-10-23,2021-11-20,cat2,subcat6
733,5139,"Craig, Ellis and Miller",Persevering 5thgeneration throughput,84500,193101,successful,2414,US,USD,2021-01-11,2021-06-17,cat2,subcat6
2394,6234,Santos Group,Secured dynamic capacity,5600,9508,successful,122,US,USD,2020-12-13,2021-04-30,cat2,subcat6
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,2020-11-11,2021-11-06,cat2,subcat8
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,18829,failed,200,US,USD,2021-11-14,2022-01-02,cat2,subcat8
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,2021-05-29,2021-08-20,cat2,subcat8
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,2021-07-09,2021-10-15,cat2,subcat8
2465,5251,Avila-Jones,Implemented discrete secured line,5400,7322,successful,70,US,USD,2020-12-03,2021-11-25,cat2,subcat8
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,2020-09-08,2021-04-16,cat2,subcat8
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,2020-11-13,2021-07-23,cat2,subcat8
625,2260,Rodriguez-Brown,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,2021-01-29,2021-06-20,cat2,subcat8
2915,3567,Hernandez Group,Ergonomic uniform open system,128100,40107,failed,955,DK,DKK,2020-05-16,2021-03-18,cat2,subcat8
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product,188100,5528,failed,67,US,USD,2020-09-24,2021-07-27,cat2,subcat8
3195,3963,"Calhoun, Rogers and Long",Progressive discrete hub,6600,3012,failed,65,US,USD,2020-04-25,2021-03-22,cat2,subcat8
2691,2969,Morgan-Warren,Face-to-face encompassing info-mediaries,87900,171549,successful,4289,US,USD,2020-12-20,2021-07-30,cat2,subcat8
735,2761,"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700,5328,successful,107,US,USD,2021-02-27,2021-10-02,cat2,subcat8
3168,1302,"Guerrero, Flores and Jenkins",Networked optimal architecture,3400,2809,failed,32,US,USD,2021-01-12,2021-12-22,cat2,subcat8
2545,4328,Harris-Perry,User-centric 6thgeneration attitude,4100,3087,canceled,75,US,USD,2021-03-05,2021-07-26,cat2,subcat8
80,4594,Guzman Group,Ameliorated disintermediate utilization,114300,96777,failed,1257,US,USD,2021-02-10,2021-09-22,cat2,subcat8
116,5810,Little-Marsh,Virtual attitude-oriented migration,8000,2758,failed,25,US,USD,2021-10-07,2021-12-28,cat2,subcat8
2087,2017,Ramirez-Myers,Switchable intangible definition,900,14547,successful,186,US,USD,2020-11-25,2021-10-16,cat2,subcat8
1409,3331,Leblanc-Pineda,Future-proofed upward-trending contingency,2700,1479,failed,25,US,USD,2021-08-13,2021-11-21,cat2,subcat8
764,6089,Cruz Ltd,Exclusive dynamic adapter,114800,12938,canceled,145,CH,CHF,2020-06-26,2021-03-09,cat2,subcat8
1635,2383,"Acosta, Mullins and Morris",Pre-emptive interactive model,97300,62127,failed,941,US,USD,2021-05-28,2021-07-01,cat2,subcat8
1653,1419,Schmidt-Gomez,User-centric impactful projection,5100,2064,failed,83,US,USD,2021-06-02,2021-09-04,cat2,subcat8
3158,4952,Hensley Ltd,Versatile global attitude,6200,10938,successful,296,US,USD,2020-10-28,2021-02-27,cat2,subcat8
1646,4765,"Wilson, Brooks and Clark",Operative well-modulated data-warehouse,146400,152438,successful,1605,US,USD,2021-11-14,2021-12-14,cat2,subcat8
726,2228,"Avila, Ford and Welch",Focused leadingedge matrix,9000,7227,failed,80,GB,GBP,2020-05-24,2021-05-26,cat2,subcat8
2082,2077,"Holt, Bernard and Johnson",Multi-lateral didactic encoding,115600,184086,successful,2218,GB,GBP,2021-01-04,2021-04-11,cat2,subcat8
1807,3012,Harrison-Bridges,Profit-focused exuding moderator,77000,1930,failed,49,GB,GBP,2021-03-04,2021-09-21,cat2,subcat8
1436,6196,Morrison-Henderson,De-engineered disintermediate encoding,100,4,canceled,1,CH,CHF,2021-06-18,2021-11-12,cat2,subcat8
2704,1968,Ritter PLC,Multi-channeled upward-trending application,9500,14408,successful,554,CA,CAD,2020-12-25,2021-07-12,cat2,subcat8
68,3879,Burnett-Mora,Quality-focused 24/7 superstructure,6400,12129,successful,238,GB,GBP,2020-09-06,2021-08-01,cat2,subcat8
1260,1563,Smith-Smith,Total leadingedge neural-net,189000,5916,failed,64,US,USD,2021-03-10,2021-05-26,cat2,subcat8
2929,2632,"Dunn, Moreno and Green",Intuitive object-oriented task-force,1900,2884,successful,96,US,USD,2021-02-23,2021-02-28,cat2,subcat8
255,1334,Robinson Group,Re-contextualized homogeneous flexibility,16200,75955,successful,1101,US,USD,2020-07-03,2021-05-18,cat2,subcat8
842,1639,"Turner, Scott and Gentry",Assimilated regional groupware,5600,2445,failed,58,IT,EUR,2021-03-31,2021-12-04,cat2,subcat8
2392,4020,Gardner Inc,Function-based systematic Graphical User Interface,3700,5028,successful,180,US,USD,2021-07-22,2022-01-03,cat2,subcat8
1699,2790,Meyer-Avila,Multi-tiered discrete support,10000,6100,failed,191,US,USD,2020-12-02,2021-05-28,cat2,subcat8
335,4789,Matthews LLC,Advanced transitional help-desk,3900,8125,successful,198,US,USD,2020-09-05,2021-04-21,cat2,subcat8
2711,1620,Johnson-Pace,Persistent 3rdgeneration moratorium,149600,169586,successful,5139,US,USD,2021-07-10,2022-01-12,cat2,subcat8
1169,5779,Macias Inc,Optimized didactic intranet,8100,6086,failed,94,US,USD,2020-09-02,2021-08-06,cat2,subcat8
342,4533,Jones-Ryan,Vision-oriented uniform instruction set,6700,8917,successful,307,US,USD,2021-03-27,2021-10-09,cat2,subcat8
3061,2222,Collier LLC,Secured well-modulated projection,17100,111502,successful,1467,CA,CAD,2020-09-09,2021-09-05,cat2,subcat8
1336,3928,Sanders LLC,Multi-tiered explicit focus group,150600,127745,failed,1825,US,USD,2021-02-01,2022-01-16,cat2,subcat8
1062,1422,"Christian, Kim and Jimenez",Devolved foreground throughput,134400,155849,successful,1470,US,USD,2021-07-11,2021-09-17,cat2,subcat8
2250,3057,"Thomas, Clay and Mendoza",Multi-channeled reciprocal interface,800,2991,successful,32,US,USD,2020-05-13,2021-03-06,cat2,subcat8
2175,6073,"Taylor, Santiago and Flores",Polarized composite customer loyalty,66600,37823,failed,374,US,USD,2020-10-08,2021-04-11,cat2,subcat8
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,2021-10-08,2021-11-03,cat2,subcat17
747,2812,Davis-Michael,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,2021-06-29,2021-08-27,cat2,subcat17
1221,2152,Sandoval Group,Assimilated multi-tasking archive,7100,8716,successful,126,US,USD,2021-08-30,2021-09-21,cat2,subcat17
2836,4161,Garcia Ltd,Secured global success,5600,5476,failed,137,DK,DKK,2020-12-13,2021-04-14,cat2,subcat17
467,3219,"Roberts, Hinton and Williams",Programmable static middleware,35000,177936,successful,3016,US,USD,2020-07-04,2021-03-31,cat2,subcat17
1277,2344,Marquez-Kerr,Automated hybrid orchestration,15800,83267,successful,980,US,USD,2021-04-01,2022-01-01,cat2,subcat17
2663,2093,Lutz Group,Enterprise-wide foreground paradigm,2700,1012,failed,12,IT,EUR,2020-09-07,2021-07-05,cat2,subcat17
